user_id,campaign,group,age,income,region,impression,ad_spend,converted,revenue
1,B,B,56,2727,Rural,0,9.98,0,0
2,B,B,46,7700,Rural,1,1.91,0,0
3,B,B,32,8227,Urban,1,8.39,0,0
4,A,A,60,5686,Rural,1,2.07,0,0
5,A,A,25,5622,Rural,0,7.03,0,0
6,B,B,38,3036,Urban,1,6.79,0,0
7,B,B,56,3832,Urban,1,9.12,0,0
8,B,B,36,7944,Urban,1,2.03,0,0
9,B,B,40,4740,Urban,1,3.84,1,120
10,B,B,28,2492,Urban,1,1.82,0,0
11,B,B,28,9435,Rural,1,4.67,0,0
12,B,B,41,3548,Rural,1,9.2,0,0
13,A,A,53,3143,Rural,0,8.03,0,0
14,B,B,57,7065,Rural,1,7.51,0,0
15,B,B,41,8496,Rural,1,5.8,0,0
16,A,A,20,9224,Urban,0,8.95,0,0
17,A,A,39,8183,Rural,0,5.04,0,0
18,B,B,19,5957,Rural,1,2.35,0,0
19,A,A,41,5407,Rural,1,8.54,0,0
20,A,A,61,2639,Rural,0,3.52,0,0
21,A,A,47,2172,Rural,0,1.48,0,0
22,B,B,55,7666,Urban,1,2.13,1,120
23,B,B,19,6354,Rural,1,6.48,0,0
24,A,A,38,5959,Rural,1,6.46,0,0
25,B,B,50,2516,Rural,1,3.34,0,0
26,B,B,29,8873,Rural,1,7.54,0,0
27,B,B,39,2522,Rural,1,7.96,0,0
28,A,A,61,3917,Rural,1,9.28,0,0
29,A,A,42,4886,Urban,1,6.26,0,0
30,A,A,44,4164,Rural,1,8.01,0,0
31,A,A,59,8327,Urban,1,7.78,0,0
32,B,B,45,3929,Urban,1,3.32,0,0
33,B,B,33,5945,Rural,1,3.79,0,0
34,B,B,32,7235,Rural,0,5.31,0,0
35,A,A,64,4209,Rural,1,1.17,0,0
36,A,A,61,9746,Urban,0,3.68,0,0
37,B,B,20,5783,Rural,1,5.26,0,0
38,A,A,54,4590,Rural,1,1.97,0,0
39,A,A,24,9754,Rural,1,2.14,0,0
40,B,B,38,9404,Urban,0,5.17,0,0
41,A,A,26,6934,Urban,1,7.58,0,0
42,A,A,56,6076,Rural,1,8.5,0,0
43,B,B,35,7185,Urban,1,5.92,0,0
44,A,A,21,3093,Rural,0,5.27,0,0
45,B,B,42,5880,Urban,0,4.46,0,0
46,B,B,31,4494,Rural,1,2.74,0,0
47,A,A,26,8559,Urban,1,2.32,0,0
48,B,B,43,4579,Rural,1,8.13,0,0
49,A,A,19,4488,Rural,1,5.19,0,0
50,A,A,37,4785,Urban,1,8.11,0,0
51,A,A,45,8065,Urban,0,7.34,0,0
52,A,A,64,8607,Urban,0,2.75,0,0
53,A,A,24,8539,Urban,1,5.59,0,0
54,A,A,61,4758,Urban,1,5.0,0,0
55,A,A,25,3574,Rural,1,4.81,0,0
56,A,A,64,9824,Rural,1,5.88,0,0
57,A,A,52,7676,Urban,1,9.84,0,0
58,B,B,31,8538,Rural,1,8.32,0,0
59,B,B,34,4373,Rural,1,9.13,0,0
60,A,A,53,5990,Urban,1,1.27,0,0
61,A,A,57,7210,Rural,0,2.26,0,0
62,A,A,21,6845,Rural,1,1.76,0,0
63,B,B,19,3093,Urban,1,3.37,0,0
64,B,B,23,3189,Urban,1,4.98,0,0
65,A,A,59,4689,Rural,1,6.78,0,0
66,A,A,21,6095,Urban,0,5.51,0,0
67,A,A,46,8357,Rural,0,9.13,0,0
68,B,B,35,3875,Urban,1,9.46,0,0
69,A,A,43,9768,Urban,0,2.47,0,0
70,B,B,61,5406,Urban,1,8.68,0,0
71,B,B,51,3787,Urban,0,5.34,0,0
72,A,A,27,8512,Rural,1,5.08,0,0
73,B,B,53,5932,Urban,1,8.06,0,0
74,A,A,31,3607,Urban,1,1.84,0,0
75,B,B,48,5748,Rural,0,8.94,0,0
76,B,B,32,2048,Rural,1,7.04,0,0
77,A,A,25,7171,Rural,0,8.88,0,0
78,A,A,31,7408,Rural,1,9.95,0,0
79,B,B,40,5861,Urban,0,5.66,0,0
80,B,B,57,7745,Rural,1,1.84,0,0
81,B,B,38,9406,Urban,0,2.5,0,0
82,A,A,33,4180,Rural,1,3.91,0,0
83,A,A,62,5046,Urban,1,1.93,0,0
84,A,A,35,4833,Rural,0,8.34,0,0
85,A,A,64,7285,Urban,0,3.67,0,0
86,B,B,41,3397,Urban,1,9.78,0,0
87,B,B,43,8516,Rural,1,7.32,0,0
88,B,B,42,7924,Urban,1,2.56,0,0
89,B,B,62,9645,Urban,1,5.28,0,0
90,B,B,58,5826,Urban,1,5.2,0,0
91,A,A,46,6574,Urban,1,5.43,0,0
92,A,A,32,2831,Rural,1,5.82,0,0
93,B,B,62,4697,Urban,0,1.28,0,0
94,B,B,18,7710,Urban,0,7.18,0,0
95,B,B,42,6777,Rural,1,5.38,0,0
96,B,B,24,9802,Rural,1,8.12,0,0
97,B,B,26,4735,Rural,1,8.34,0,0
98,B,B,41,7419,Urban,1,3.07,0,0
99,B,B,18,2081,Urban,1,1.44,0,0
100,B,B,61,2086,Rural,1,7.33,0,0
101,A,A,25,8368,Urban,1,9.8,0,0
102,B,B,41,4063,Rural,1,5.02,0,0
103,B,B,28,2821,Urban,0,3.34,0,0
104,A,A,34,9525,Rural,0,2.41,0,0
105,A,A,25,2162,Urban,1,3.59,0,0
106,B,B,52,9777,Rural,1,3.95,0,0
107,A,A,52,5739,Urban,0,4.81,0,0
108,A,A,50,8657,Rural,1,6.9,0,0
109,B,B,22,4397,Urban,0,3.46,0,0
110,A,A,59,3932,Urban,0,1.46,0,0
111,B,B,56,4728,Urban,0,4.36,0,0
112,B,B,58,5535,Rural,1,8.7,0,0
113,B,B,45,7946,Urban,1,5.49,1,120
114,A,A,24,7956,Urban,0,9.68,0,0
115,A,A,26,5446,Urban,1,5.53,0,0
116,B,B,25,7211,Rural,1,3.48,0,0
117,B,B,29,8324,Urban,1,2.74,0,0
118,A,A,51,4790,Rural,1,7.25,0,0
119,B,B,50,9468,Urban,0,5.83,0,0
120,A,A,40,4707,Rural,1,6.44,0,0
121,A,A,41,9959,Rural,0,7.8,0,0
122,A,A,54,9356,Urban,0,7.53,0,0
123,A,A,52,7978,Rural,1,1.39,0,0
124,A,A,61,5933,Rural,1,8.22,0,0
125,A,A,57,5385,Urban,0,5.79,0,0
126,B,B,39,8636,Rural,1,4.53,0,0
127,B,B,44,2922,Rural,0,5.84,0,0
128,A,A,52,4175,Rural,0,6.51,0,0
129,A,A,18,9686,Rural,1,2.35,0,0
130,B,B,52,7545,Urban,0,4.76,0,0
131,B,B,54,3582,Rural,1,4.02,1,120
132,B,B,64,2564,Rural,1,4.15,0,0
133,B,B,31,5258,Urban,0,1.82,0,0
134,B,B,20,4597,Urban,0,2.44,0,0
135,B,B,18,4500,Rural,1,2.46,0,0
136,B,B,22,6566,Urban,1,4.36,0,0
137,B,B,43,2987,Urban,1,9.05,0,0
138,A,A,31,8881,Urban,1,2.85,0,0
139,B,B,56,5636,Urban,1,4.75,0,0
140,A,A,44,8030,Urban,1,3.8,0,0
141,B,B,26,2223,Urban,1,8.09,0,0
142,B,B,32,8297,Urban,0,1.45,0,0
143,B,B,32,8703,Urban,1,2.77,0,0
144,B,B,43,2350,Urban,1,2.9,0,0
145,B,B,59,9314,Rural,0,9.94,0,0
146,A,A,30,3928,Rural,0,6.14,0,0
147,B,B,49,9743,Rural,0,2.25,0,0
148,A,A,56,2348,Rural,1,3.45,0,0
149,A,A,49,6277,Rural,1,2.51,0,0
150,B,B,21,6732,Urban,1,2.12,0,0
151,A,A,47,3017,Urban,1,8.17,0,0
152,B,B,54,4226,Rural,1,5.46,0,0
153,B,B,40,9206,Rural,1,6.68,0,0
154,B,B,56,6867,Urban,1,3.98,0,0
155,A,A,62,9037,Rural,1,5.98,0,0
156,B,B,32,9170,Urban,1,3.32,0,0
157,A,A,60,7111,Rural,1,3.77,0,0
158,B,B,46,8207,Urban,1,6.87,0,0
159,B,B,53,6124,Rural,1,2.35,0,0
160,A,A,30,4419,Urban,1,6.55,0,0
161,A,A,49,9690,Rural,1,8.67,0,0
162,A,A,24,8240,Rural,1,2.08,0,0
163,A,A,39,3893,Urban,1,9.08,1,100
164,A,A,45,7561,Urban,1,1.72,0,0
165,A,A,19,7322,Rural,0,4.14,0,0
166,B,B,59,9578,Rural,1,6.49,1,120
167,A,A,62,5040,Urban,1,6.03,0,0
168,B,B,23,4068,Urban,0,1.87,0,0
169,B,B,45,9718,Urban,1,8.19,0,0
170,B,B,45,8878,Rural,1,9.76,0,0
171,B,B,61,3125,Rural,1,2.63,0,0
172,B,B,61,5117,Urban,0,9.06,0,0
173,A,A,37,6161,Rural,1,6.01,0,0
174,B,B,47,8746,Rural,1,9.42,0,0
175,B,B,28,9331,Urban,1,2.58,1,120
176,B,B,45,6042,Rural,1,8.13,0,0
177,A,A,42,7230,Urban,1,1.54,0,0
178,A,A,56,6433,Urban,0,8.95,1,100
179,A,A,50,4170,Rural,1,7.07,0,0
180,A,A,18,7824,Rural,1,4.33,0,0
181,B,B,44,2446,Urban,1,2.71,0,0
182,A,A,30,4658,Urban,1,8.35,0,0
183,B,B,58,5362,Urban,0,6.43,0,0
184,A,A,20,4718,Rural,1,4.24,0,0
185,A,A,56,5483,Urban,1,4.99,0,0
186,A,A,23,8758,Urban,1,8.44,0,0
187,A,A,25,4944,Urban,1,4.05,0,0
188,B,B,44,6376,Urban,1,1.81,0,0
189,A,A,26,9210,Rural,0,9.2,0,0
190,B,B,54,9653,Rural,1,4.49,0,0
191,B,B,50,2595,Urban,0,4.14,0,0
192,B,B,59,3986,Rural,0,2.84,0,0
193,B,B,61,4750,Rural,0,9.08,0,0
194,B,B,41,3074,Rural,1,2.96,0,0
195,B,B,32,5969,Urban,1,6.73,0,0
196,B,B,49,6305,Rural,0,8.93,0,0
197,A,A,49,6221,Rural,0,1.31,0,0
198,B,B,41,6587,Urban,0,8.46,0,0
199,A,A,58,5580,Urban,1,4.7,0,0
200,A,A,29,5007,Rural,1,6.92,0,0
201,B,B,56,2969,Rural,0,4.35,0,0
202,B,B,19,2580,Urban,1,7.26,1,120
203,A,A,20,4824,Urban,1,3.29,0,0
204,A,A,54,8401,Urban,1,1.2,0,0
205,B,B,34,6001,Urban,1,9.53,0,0
206,B,B,19,3211,Rural,1,1.15,0,0
207,A,A,19,2229,Urban,1,8.42,0,0
208,A,A,45,6284,Rural,1,2.52,1,100
209,B,B,40,9582,Rural,1,4.53,0,0
210,A,A,54,8153,Rural,1,8.4,0,0
211,A,A,49,5185,Urban,1,2.85,0,0
212,B,B,50,9243,Urban,0,8.79,0,0
213,A,A,18,8819,Rural,1,5.48,0,0
214,B,B,36,2501,Rural,1,4.3,0,0
215,B,B,19,4132,Rural,0,6.96,0,0
216,B,B,61,2048,Rural,0,4.07,0,0
217,A,A,43,5566,Rural,1,4.13,0,0
218,B,B,49,8981,Urban,1,7.6,0,0
219,A,A,23,5055,Urban,1,3.79,0,0
220,B,B,49,2688,Urban,1,2.81,0,0
221,B,B,21,2386,Rural,0,8.27,0,0
222,A,A,28,2969,Rural,0,8.25,0,0
223,A,A,34,5460,Urban,0,5.48,0,0
224,A,A,55,3005,Urban,1,5.74,0,0
225,B,B,41,8361,Rural,1,7.26,0,0
226,A,A,22,7820,Urban,0,5.58,0,0
227,B,B,51,8100,Urban,1,4.75,0,0
228,A,A,23,5052,Urban,1,9.95,0,0
229,B,B,39,5417,Rural,0,2.33,0,0
230,B,B,28,9397,Rural,1,6.33,0,0
231,B,B,33,4302,Urban,1,8.97,0,0
232,B,B,50,4283,Rural,0,7.18,0,0
233,A,A,26,9193,Urban,1,8.93,0,0
234,A,A,23,3607,Urban,1,4.03,0,0
235,B,B,33,9428,Rural,1,3.45,0,0
236,B,B,46,7885,Rural,1,8.66,0,0
237,A,A,20,6366,Rural,1,4.55,0,0
238,A,A,37,2122,Urban,1,7.39,0,0
239,A,A,53,8799,Urban,1,2.33,0,0
240,A,A,36,3280,Urban,0,7.8,0,0
241,A,A,43,5727,Rural,1,5.94,0,0
242,A,A,20,7540,Urban,0,3.42,0,0
243,B,B,36,2258,Urban,1,5.45,0,0
244,A,A,37,2947,Urban,1,7.27,0,0
245,A,A,49,8190,Urban,1,1.11,0,0
246,B,B,24,6958,Rural,1,6.74,0,0
247,A,A,58,2524,Rural,0,5.87,0,0
248,A,A,50,2887,Rural,1,2.98,0,0
249,A,A,57,2207,Urban,1,7.78,0,0
250,B,B,56,5382,Urban,1,3.73,0,0
251,A,A,35,4794,Urban,1,3.49,0,0
252,B,B,57,2148,Rural,1,5.24,0,0
253,A,A,18,2437,Rural,1,7.09,0,0
254,B,B,28,4202,Rural,1,9.36,0,0
255,A,A,45,5749,Rural,1,2.27,0,0
256,A,A,42,5161,Rural,1,4.57,0,0
257,A,A,40,7817,Urban,1,1.6,0,0
258,B,B,48,5901,Rural,1,7.83,0,0
259,A,A,47,6453,Rural,1,5.03,0,0
260,A,A,59,5245,Rural,0,7.36,0,0
261,B,B,52,7336,Urban,0,3.9,0,0
262,B,B,24,8026,Rural,0,8.6,0,0
