user_id,campaign,age,income,region,impression,ad_spend,converted
1,B,31,3344,Urban,1,5.76,0
2,A,65,3191,Rural,1,1.06,0
3,A,24,1479,Urban,0,2.12,0
4,A,53,2752,Urban,0,5.77,0
5,A,41,3219,Urban,1,5.78,0
6,B,44,1650,Urban,1,5.27,0
7,A,54,897,Urban,1,2.59,0
8,B,55,4354,Rural,1,2.05,0
9,B,47,3061,Rural,0,2.69,0
10,A,44,3251,Rural,1,1.67,0
11,A,56,3666,Urban,1,2.96,0
12,B,32,1821,Urban,1,8.78,0
13,B,43,2515,Urban,1,8.5,0
14,B,18,4804,Rural,1,2.24,0
15,A,21,2413,Urban,1,4.79,0
16,B,46,2680,Urban,1,7.12,0
17,A,18,2196,Urban,1,2.53,0
18,B,60,2110,Urban,1,8.44,0
19,B,63,4326,Urban,1,4.52,0
20,B,39,500,Urban,1,5.06,1
21,B,28,2451,Rural,1,2.45,0
22,A,27,3270,Rural,1,2.88,0
23,A,34,5036,Urban,1,4.79,0
24,B,53,1637,Urban,1,6.47,0
25,A,64,1433,Rural,1,2.64,0
26,B,43,1967,Urban,1,5.3,1
27,A,65,3842,Urban,1,5.72,0
28,B,38,3150,Rural,1,4.09,0
29,B,30,1268,Urban,1,7.36,0
30,B,26,3119,Urban,1,8.77,0
31,A,28,4861,Urban,1,4.58,0
32,A,28,3317,Urban,1,5.55,0
33,A,23,3197,Urban,0,5.32,0
34,A,18,3269,Urban,1,2.79,0
35,B,23,3497,Urban,1,5.44,0
36,A,30,1479,Urban,1,2.26,1
37,B,39,2721,Urban,1,5.32,0
38,A,48,2784,Urban,1,3.37,0
39,A,39,2419,Urban,1,2.12,0
40,B,54,3823,Urban,1,5.89,0
41,B,64,2239,Urban,1,8.63,0
42,A,44,2568,Urban,1,5.36,0
43,B,31,1487,Urban,1,4.05,0
44,A,64,3453,Urban,1,2.03,0
45,B,22,4130,Urban,1,4.88,0
46,A,53,2566,Urban,1,5.49,0
47,A,49,3968,Rural,1,1.94,1
48,A,51,2823,Urban,1,5.93,0
49,A,24,500,Urban,1,5.55,0
50,A,59,2938,Urban,1,5.56,0
51,A,65,2789,Rural,1,1.26,0
52,B,27,3123,Urban,0,6.85,0
53,A,34,3303,Urban,0,5.97,0
54,B,47,2179,Urban,1,4.89,0
55,A,38,4765,Urban,1,4.3,0
56,B,30,2920,Rural,1,3.03,0
57,A,18,2760,Rural,1,1.78,1
58,B,18,3893,Urban,1,9.34,1
59,A,64,3022,Urban,1,4.35,1
60,A,50,6079,Rural,1,2.52,0
61,A,55,2748,Urban,1,4.69,0
62,B,42,3422,Urban,1,7.17,0
63,B,43,2101,Rural,1,4.38,0
64,A,30,4044,Urban,1,5.88,0
65,A,45,3370,Rural,0,2.93,0
66,B,50,2593,Urban,0,8.74,0
67,A,54,1953,Urban,1,3.95,0
68,B,58,1428,Urban,1,4.98,0
69,B,47,3502,Rural,1,2.13,0
70,A,65,1335,Urban,0,2.93,0
71,B,25,4570,Urban,1,6.04,0
72,A,64,1484,Rural,1,1.26,0
73,A,18,2785,Urban,1,2.9,0
74,A,29,1942,Urban,0,2.33,0
75,A,22,3039,Urban,0,4.09,0
76,B,41,3031,Urban,1,4.76,0
77,A,23,3533,Urban,0,4.97,0
78,B,42,1168,Urban,1,6.0,0
79,B,18,2083,Rural,1,4.02,0
80,A,42,4164,Urban,1,5.53,0
81,B,18,3790,Rural,1,2.26,0
82,A,49,500,Urban,1,5.96,0
83,B,59,3452,Rural,0,3.94,0
84,A,59,1761,Urban,1,2.21,0
85,B,20,2289,Urban,0,5.88,0
86,A,36,2727,Urban,1,5.54,0
87,A,60,4868,Urban,1,4.38,0
88,A,46,1748,Urban,1,3.15,0
89,B,19,1315,Urban,0,9.64,0
90,B,26,3540,Urban,1,8.72,0
91,B,34,2966,Urban,1,8.41,0
92,B,63,4448,Urban,1,9.33,1
93,B,53,2576,Rural,1,4.31,0
94,A,34,4452,Rural,1,1.57,0
95,A,29,3019,Urban,1,4.34,0
96,A,37,3634,Urban,1,5.37,1
97,B,20,4948,Urban,1,5.09,0
98,B,60,2799,Rural,1,2.49,0
99,B,21,4253,Rural,1,2.48,0
100,B,34,2263,Urban,0,5.17,0
101,A,54,3273,Urban,1,2.41,0
102,B,63,1266,Urban,1,9.03,1
103,A,59,2394,Urban,1,5.27,0
104,B,32,1730,Urban,0,4.91,0
105,B,50,4464,Urban,1,8.23,1
106,A,33,5086,Urban,0,4.51,0
107,A,28,2574,Urban,0,3.1,0
108,B,37,2072,Rural,1,2.68,0
109,B,55,1423,Urban,1,5.5,0
110,A,41,3317,Urban,1,4.92,0
111,B,33,2277,Urban,1,5.92,0
112,B,47,2341,Urban,1,5.67,0
113,A,51,4955,Rural,0,1.04,0
114,A,18,2644,Urban,1,5.63,0
115,B,41,3703,Urban,1,8.52,0
116,A,41,3063,Urban,1,3.89,0
117,B,26,1373,Urban,1,9.66,0
118,A,39,786,Rural,1,1.59,0
119,A,29,3585,Urban,1,4.7,1
120,A,34,5044,Urban,1,3.22,0
121,B,42,3377,Urban,1,5.89,0
122,A,45,3748,Urban,1,5.38,0
123,B,32,1914,Urban,0,8.72,0
124,B,47,4217,Urban,1,5.76,1
125,A,44,4203,Urban,1,2.33,1
126,A,39,2164,Rural,1,1.72,1
127,A,27,3654,Urban,1,5.04,0
128,A,48,880,Urban,1,2.4,0
129,B,44,3868,Urban,1,8.03,0
130,A,29,2313,Urban,1,5.56,0
131,B,63,1527,Urban,0,5.08,0
132,A,48,3483,Urban,1,5.45,0
133,A,49,873,Urban,1,2.21,0
134,B,49,3410,Rural,1,4.0,0
135,B,58,1641,Urban,1,8.75,1
136,B,62,1384,Rural,1,3.33,0
137,A,52,3071,Rural,1,1.41,0
138,B,63,2792,Rural,1,4.77,0
139,A,38,4748,Urban,1,2.08,0
140,B,27,1458,Rural,1,3.67,0
141,A,33,4650,Rural,1,1.75,0
142,B,24,1634,Urban,1,6.77,0
143,B,21,4103,Urban,1,7.22,1
144,A,44,4327,Urban,1,4.14,0
145,B,42,3385,Urban,1,5.22,0
146,B,48,2050,Urban,1,8.08,0
